home_avg_pts_for,home_avg_pts_against,home_last5_wins,home_home_wins_pct,home_away_wins_pct,home_avg_margin,away_avg_pts_for,away_avg_pts_against,away_last5_wins,away_home_wins_pct,away_away_wins_pct,away_avg_margin,home_court_flag,implied_total,efficiency_diff,target_total,target_margin,game_id,date,season,home_team_id,away_team_id
82.0,81.2,2,0.5,0.3333333333333333,0.8,96.6,96.8,2,0.5,0.3333333333333333,-0.2,1,178.6,1.0,194,12,401820841,2025-11-19,2026,2127,85
84.2,65.0,3,1.0,0.3333333333333333,19.2,79.6,67.0,2,0.6666666666666666,0.0,12.6,1,163.8,6.6000000000000085,172,-4,401826831,2025-11-20,2026,2908,2635
91.4,70.4,5,1.0,1.0,21.0,89.6,78.0,3,0.75,0.0,11.6,1,181.0,9.400000000000006,170,34,401811106,2025-11-21,2026,142,233
68.66666666666667,73.83333333333333,0,0.5,0.0,-5.166666666666667,70.4,80.8,1,0.5,0.0,-10.4,1,139.06666666666666,5.233333333333334,144,4,401822351,2025-11-21,2026,284,322
89.0,80.0,4,0.75,1.0,9.0,72.6,61.2,4,1.0,0.0,11.4,0,161.6,-2.3999999999999915,144,10,401817445,2025-11-21,2026,2116,221
75.6,68.2,2,0.6666666666666666,0.0,7.4,75.83333333333333,79.83333333333333,3,1.0,0.0,-4.0,1,151.43333333333334,11.399999999999991,164,-16,401826808,2025-11-21,2026,242,2627
79.0,80.6,2,1.0,0.25,-1.6,95.66666666666667,97.83333333333333,2,0.5,0.25,-2.1666666666666665,0,174.66666666666669,0.5666666666666629,181,21,401823377,2025-11-21,2026,2011,85
63.2,73.8,1,0.25,0.0,-10.6,76.2,65.4,3,0.5,0.6666666666666666,10.8,1,139.4,-21.39999999999999,140,14,401820553,2025-11-21,2026,2005,2565
86.6,77.8,5,1.0,0.5,8.8,79.8,85.4,2,1.0,0.25,-5.6,1,166.39999999999998,14.400000000000006,177,-7,401819909,2025-11-21,2026,254,13
83.0,60.0,4,1.0,0.5,23.0,82.6,79.4,2,1.0,0.0,3.2,0,165.6,19.80000000000001,138,-4,401823868,2025-11-21,2026,250,2097
84.6,58.6,4,1.0,0.0,26.0,72.8,54.8,5,1.0,0.5,18.0,0,157.39999999999998,7.999999999999993,137,3,401809308,2025-11-21,2026,228,277
74.6,73.8,2,0.5,0.3333333333333333,0.8,65.4,71.0,3,0.5,0.6666666666666666,-5.6,1,140.0,6.3999999999999915,156,16,401820152,2025-11-22,2026,2426,2885
